timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1702771238283,3,Get Characters,200,OK,HW Group 1-35,text,true,,318,159,1,1,http://localhost:3001/characters,3,0,1
1702771238286,2,Get Character,200,OK,HW Group 1-35,text,true,,257,160,1,1,http://localhost:3001/character/1,2,0,0
1702771238288,2,Create Character,200,OK,HW Group 1-35,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238290,2,Modify Character,200,OK,HW Group 1-35,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238292,1,Delete Character,200,OK,HW Group 1-35,text,true,,249,182,2,2,http://localhost:3001/character/4,1,0,0
1702771238293,2,Get Characters,200,OK,HW Group 1-36,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238296,1,Get Character,200,OK,HW Group 1-36,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238297,1,Create Character,200,OK,HW Group 1-36,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238298,2,Modify Character,200,OK,HW Group 1-36,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238300,2,Delete Character,200,OK,HW Group 1-36,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238303,2,Get Characters,200,OK,HW Group 1-37,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238306,1,Get Character,200,OK,HW Group 1-37,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238307,2,Create Character,200,OK,HW Group 1-37,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238309,1,Modify Character,200,OK,HW Group 1-37,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238311,1,Delete Character,200,OK,HW Group 1-37,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238313,2,Get Characters,200,OK,HW Group 1-38,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,0
1702771238315,1,Get Character,200,OK,HW Group 1-38,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238316,1,Create Character,200,OK,HW Group 1-38,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238317,1,Modify Character,200,OK,HW Group 1-38,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238319,1,Delete Character,200,OK,HW Group 1-38,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238322,2,Get Characters,200,OK,HW Group 1-39,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238325,1,Get Character,200,OK,HW Group 1-39,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238326,2,Create Character,200,OK,HW Group 1-39,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238328,2,Modify Character,200,OK,HW Group 1-39,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238330,2,Delete Character,200,OK,HW Group 1-39,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238333,5,Get Characters,200,OK,HW Group 1-40,text,true,,318,159,1,1,http://localhost:3001/characters,5,0,1
1702771238338,2,Get Character,200,OK,HW Group 1-40,text,true,,257,160,1,1,http://localhost:3001/character/1,2,0,0
1702771238340,1,Create Character,200,OK,HW Group 1-40,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238342,1,Modify Character,200,OK,HW Group 1-40,text,true,,263,208,2,2,http://localhost:3001/character/4,1,0,0
1702771238343,2,Delete Character,200,OK,HW Group 1-40,text,true,,249,182,2,2,http://localhost:3001/character/4,2,0,0
1702771238343,3,Get Characters,200,OK,HW Group 1-41,text,true,,318,159,1,1,http://localhost:3001/characters,3,0,1
1702771238346,1,Get Character,200,OK,HW Group 1-41,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238347,1,Create Character,200,OK,HW Group 1-41,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238349,1,Modify Character,200,OK,HW Group 1-41,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238350,2,Delete Character,200,OK,HW Group 1-41,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238352,2,Get Characters,200,OK,HW Group 1-42,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238355,1,Get Character,200,OK,HW Group 1-42,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238356,2,Create Character,200,OK,HW Group 1-42,text,true,,262,206,1,1,http://localhost:3001/character,2,0,0
1702771238358,1,Modify Character,200,OK,HW Group 1-42,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238359,2,Delete Character,200,OK,HW Group 1-42,text,true,,249,182,1,1,http://localhost:3001/character/4,2,0,0
1702771238363,2,Get Characters,200,OK,HW Group 1-43,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238365,2,Get Character,200,OK,HW Group 1-43,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238367,1,Create Character,200,OK,HW Group 1-43,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238368,1,Modify Character,200,OK,HW Group 1-43,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238370,1,Delete Character,200,OK,HW Group 1-43,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238373,2,Get Characters,200,OK,HW Group 1-44,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238376,1,Get Character,200,OK,HW Group 1-44,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238377,1,Create Character,200,OK,HW Group 1-44,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238378,1,Modify Character,200,OK,HW Group 1-44,text,true,,263,208,1,1,http://localhost:3001/character/4,1,0,0
1702771238380,1,Delete Character,200,OK,HW Group 1-44,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238382,2,Get Characters,200,OK,HW Group 1-45,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238384,1,Get Character,200,OK,HW Group 1-45,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
1702771238385,1,Create Character,200,OK,HW Group 1-45,text,true,,262,206,1,1,http://localhost:3001/character,1,0,0
1702771238386,2,Modify Character,200,OK,HW Group 1-45,text,true,,263,208,1,1,http://localhost:3001/character/4,2,0,0
1702771238388,1,Delete Character,200,OK,HW Group 1-45,text,true,,249,182,1,1,http://localhost:3001/character/4,1,0,0
1702771238393,2,Get Characters,200,OK,HW Group 1-46,text,true,,318,159,1,1,http://localhost:3001/characters,2,0,1
1702771238395,1,Get Character,200,OK,HW Group 1-46,text,true,,257,160,1,1,http://localhost:3001/character/1,1,0,0
